questions,category
I nearly have 3 days of incomplete rest. How can I stay in condition?,Lifestyle and Health
I never had any pain before/during my period. The other day I started having pain in the pelvic area. At night it's so excruciating I can barely move.,Specific Health Conditions and Diseases
In the past year I have experienced sharp pains in my left breast. I have had an exam and even and mammogram and everything is ok.,Specific Health Conditions and Diseases
"I reached over a counter and something popped on my left side above rib cage. It gets sore if I pull on something, etc What is this injury? IA weekno",Specific Health Conditions and Diseases
Is it ok to have Valium when taking sinemet (carbidopa and levodopa) 100/25 & rapid. My sister has dystonia and is in hospital and docs there never heard of dystonia.,Medication Information
Is it possible for my hubby to know whether I am a virgin or not?,General Health Information
Is it safe to use silicone gel sheet on acne scar on the face?,Treatment Details
Is odomos safe during pregnancy?,Medication Information
Is sex good for a relationship?,Lifestyle and Health
Is taking 5mg of prednisone daily for a year considered fairly safe?,Medication Information
Is there any cure for restless legs?,Treatment Details
I talk in my sleep with my eyes open but have no memory of the conversations.,Specific Health Conditions and Diseases
"I've got a stabbing pain in my groin in scrotum, what would cause this?",Specific Health Conditions and Diseases
"I've had body aches, blocked stuffy nose, headaches, pressure in my face and throat tightness and it feels dry for 6 months is it a bad cold?",Specific Health Conditions and Diseases
Ive noticed that after eating my resting heart rate goes from the 60s close to the 80s. Is this normal after eating?,Lifestyle and Health
"I very often have dull pain in the lower left abdomen. Although bearable, should I still be concerned due to its frequent occurance and see a doctor?",Specific Health Conditions and Diseases
"I was fingured by a guy for first time, he was touching his penis which was wet with precum and then he fingured my vagina.Can i get HIV through this?",Specific Health Conditions and Diseases
My 24 year old daughter thinks she may be developing schizophrnia. A couple months ago she started feeling tired all the time and stopped socializing?,Specific Health Conditions and Diseases
"My 2 yr old has red bumps with white middle spots on his stomach, chest, and thighs. They don't bother him but have been there for 1 wk. What r they?",Specific Health Conditions and Diseases
My blood report from Sunday Evening i.e. 14th june (23rd day) of 34 days cycle shows I ovulated and its 35 unit. So when did I ovulated?,Diagnosis Explanation
My daughter was diagnosed w a murmur@her4month appt. We went2the hospital2do xrays&an ekg. L8r told2go2dallas cardiologist what could b wrng!,Diagnosis Explanation
My entire left side of my body has a sharp pain going through my whole left side of my body. I have a sharp pain in my neck and around my heart what s?,Specific Health Conditions and Diseases
"My heart-rate while in bed is 58-60bpm, when changing positions, it increases then goes back to 60, is this a normal reaction?",General Health Information
My mom also had a cancerous lump removed from her breast a few years ago. Could it be the same thing now?,Diagnosis Explanation
My mother is having burning sensation in her left hand she is a diabetic patient and having asthma problem please help me what does it mean?,Specific Health Conditions and Diseases
My scalp is very itchy and im loosing a lot of hair each day. My skin is oily type. Gp prescribed me diprosalic for scalp aplication. What can cause it?,Specific Health Conditions and Diseases
My wife continues pain in her lower left side. She went to Dr a he could not find any problem. However pain is still a problem all day. Anything?,Specific Health Conditions and Diseases
Nev er miss a period in life until I start date man outside my race. I had feb march apr no period  got light for only 2 day may no period since ?,Specific Health Conditions and Diseases
Orthostatic hypotension. I put table salt in a pint of water a few times a day and drink it. Can i overdose and die from the salt? Male 22.,Medication Information
Pain in mid right of stomach?,Specific Health Conditions and Diseases
Please help doc asap ...I have trouble allergies and my eyes feel like its rock in them for 2 days nows very very painful what can I do ? I tookbenado,Specific Health Conditions and Diseases
"Rash all over body starts on head itchy but bearable, then spreads all over body rapidly first looks like nettle sting but then turns extremely red ?",Specific Health Conditions and Diseases
Scalp psoriasis.What is treatment?,Treatment Details
Self-waxing pubic hair - is it hard to do?,Lifestyle and Health
Sharp inconsistent  pains on  the right side near the ovaries and lower back. Pain came out of nowhere and started today its been 4 hours. Help?,Specific Health Conditions and Diseases
"Should I see a doctor about possibly anxiety/depression issues? I haven't been feeling like myself lately. I've taken several online depression/anxiety inventories and they've all come back that I have moderate/severe qualities of depression, however I do",Diagnosis Explanation
Should I take my Cymbalta (duloxetine) 30mg in a.m. or p.m.? I take it for diabetic neuropathy.  My Neuropathy is worse in the evening and night. Thank you.,Medication Information
So the bf is disgusted by my stretch marks. What can I do to get rid of them?,Lifestyle and Health
"Sudden chest pain shortness of breath, resting hr at 100 is this pulmonary embolism i'm a 30/m. I have a family history. If i go to ER will they run CT scan for this?",Diagnosis Explanation
Sunscreen lotion for african americans with very extremely sensitive skin?,Medication Information
The 2nd person closest to me had a cold sore and passed it to  the person next to me who hit it and passed it to me (glass pipe) am i at risk?,Specific Health Conditions and Diseases
"There is a psychiatric night time tablet for schizophrenia that starts with 'c', does it cause drowsiness?",Medication Information
Unexplained numbness and sharp stabbing pain in the left side of my body. Suggestions?,Specific Health Conditions and Diseases
"Very large bruise at old scar about 29 yrs ago i had my appendix removed. Now i was changing shirts to day and i saw a very large bruise around the scar in about a 6 or 8"" circle. It looks like a big explosion of blood in the circle.",Specific Health Conditions and Diseases
What are some really good ways to stimulate adrenaline?,Lifestyle and Health
What are the complications of ANLL?,Specific Health Conditions and Diseases
What are the side effects of stelazine (trifluoperazine)?,Medication Information
What can I do for intestinal blockage?,Treatment Details
What can I do to sleep better?,Lifestyle and Health
What causes a problem with lower back (right side) down the leg to near ankle?,Specific Health Conditions and Diseases
What could cause sensitive gums two months after a root canal?,Specific Health Conditions and Diseases
What does it mean to have sporadic headaches?,Diagnosis Explanation
What does spinning around do to the brain to cause you to vomit?,Specific Health Conditions and Diseases
"What is ayurvedic, or homeopathic medicine for chronic rhinitis?",Medication Information
What is gastrointestinal influenza? Is it contagious?,Specific Health Conditions and Diseases
What is the most effective skin bleach/lightening cream?,Medication Information
What is the retinal pigment epithelium?,Diagnosis Explanation
What kinds of epilepsy are there?,Specific Health Conditions and Diseases
What method is there to get rid of this cough and wheezing?,Treatment Details
What should we do if my husband vomitted blood? He has been having stomach aches this past week and vomitted blood for the first time tonight.,Specific Health Conditions and Diseases
What to do if I'm 58 years old man.befoe 25 days I was found with widal positive but after 25 days widal test is negative..?,Diagnosis Explanation
What ways/exercises are most effective for getting rid of thigh fat?,Lifestyle and Health
When after a sinus infection clears up will brain fog go away?,Treatment Details
When do you apply sunscreen: before or after skin care?,General Health Information
"When I use the bathroom, my poop are sometimes the size of meat balls or bigger. And it's hard to push I eat fruits vegetables. When using I bleed why?",Specific Health Conditions and Diseases
Why am i so forgetful all the time i forget we're i'm going what i'm doing an saying?,Lifestyle and Health
Why does my back hurt when I breathe or bend over? Its kind of in my upper middle back but just on the right side.,Specific Health Conditions and Diseases
Why do I have chronic ankle ligament pain for no reason?,Specific Health Conditions and Diseases
Will anyone tell me how come I have small pimple like bumps n my nipple and the surrounding part?,Specific Health Conditions and Diseases
A BNP value less than 10 pg/ML can rule out CHF or some serious heart problem? Thanks,Diagnosis Explanation
Are all lymph node removal surgeries cancerous in nature? Can you share some sources?,Specific Health Conditions and Diseases
Can ciproflaxin and amoxicillin be taken together?,Medication Information
Can I take Cymbalta (duloxetine) with gabapentin?,Medication Information
Can stem cell research help diseased arteries?,Treatment Details
Can sun urticaria cause anaphylaxis?,Specific Health Conditions and Diseases
Can u take Prilosec OTC with fluoxetine?,Medication Information
Can you explain if it's possible to have a lot of the symptoms of type 2 diabetes and not have it?,Diagnosis Explanation
Can you take tylenol (acetaminophen) and Advil together? Can you take tylenol (acetaminophen) and Advil together?,Medication Information
Can you tell me how i can take prohormones the right way?,Treatment Details
Can you tell me if i could get the stomach flu twice?,Specific Health Conditions and Diseases
"Chest keeps popping i don't know why  went to the doctor and they said , y chest was inflamed is the anything that can make the inflammation go away?",Treatment Details
Chest pain cough that's last couple weeks. Now have blood shot eyes that are irritated cheek lil swollen also nauseas head ache fatigue what is it?,Specific Health Conditions and Diseases
Clomiphene citrate 100mg from   3rd day for 5 days any possibility for twins and conceiving? Please answer,Medication Information
Cortisone shot as a diagnostic tool in the knee what does this mean. If the shot worked does it mean inflammation? If not internal damage. Help,Diagnosis Explanation
Could you tell me what happens when you quit smoking?,Lifestyle and Health
Does a thyroid level in the TSH 4.1 to 5.2 range indicate hypothyroidism? Is very dry skin and increase in acne also a symptom?,Diagnosis Explanation
Does endocervical component mean endometriosis?,Diagnosis Explanation
Does zyrtec (cetirizine) helps for swollen lips?,Medication Information
"For a week had pain under left breast, worst when rolling to that side in bed or getting up from laying down. most of the time I cannot deep breath?",Specific Health Conditions and Diseases
From last 4 days I get burning feeling in my throat. I am doing gargle but no improvement. Pls help?,Specific Health Conditions and Diseases
Has anyone else had nasty side effects from taking alendronate/fosamax for osteoporosis?,Medication Information
Hey! If I stay in the shower a long time my nose starts dripping and running like crazy. I also can begin sneezing time after time. Any idea? Thanks!!,Lifestyle and Health
"Hi doctor I tested hsv2 IgG 2.16 Elisa after 70 days of my protected encounter only vaginal. I discuss two doctor n they say Ur fine Pls clear, no symp?",Diagnosis Explanation
High myopia category involves the astigmatism also?,Specific Health Conditions and Diseases
Hi! I have a 7 years old daughter i noticed that she's having a deep breathing in every minute. What is wrong with her?,Specific Health Conditions and Diseases
Hi  I have epilepsy and have 30 seizures a day i'm on epillim 2000mg  a day is it possible to go on a higher dose?,Medication Information
"Hi I just got over the stomach flu and have been experiencing chest, throat and jaw pain. I was wondering what it could be? I don't want to worry, but",Specific Health Conditions and Diseases
How are metabolic rate and free radical production related to human lifespan? What are some medically proven ways to control the metabolic rate and free radical production?,Lifestyle and Health
How can warfarin alternatives work?,Medication Information
How is substance abuse diagnosed?,Diagnosis Explanation
How long does a wrenched ligament in the knee take to heal?,Treatment Details
"How long does it normally take a man to ejaculate, and at what point is ejaculation considered premature?",Treatment Details
How long does it take for my vitamin d levels to get back to normal (about 70-80)? mine is 29 and I am taking 2000 ius/day and trying to get sun in FL,Treatment Details
How long does it take to heal from a tubuligation reversal?,Treatment Details
How long is it normal for a jammed joint in your foot take to heel?,Treatment Details
How long should u wait on an ssri (fluvoxamine) if you don't see any improvement? How much time will u give it to be sure there will be no improvement?,Treatment Details
How long would you need to take off if you have a mental breakdown due to work?,Lifestyle and Health
How many hours do you have to walk to see weight loss? How long will it take before i see noticeable weight loss?,Lifestyle and Health
How much should I take the biotin 500mg?,Medication Information
How much taller will a girl grow after she starts her period?,General Health Information
Husband takes prograf and may have cancer; will cancers spread quickly on prograf?,Medication Information
I am about 15 weeks of pregnant and I have difficulty to sleep what can I take for helping me sleep. Thank you?,Medication Information
"I am a girl, my cum is a little foamy and thick. stringy too. I have no smyptoms, but is this normal?",Specific Health Conditions and Diseases
I am currently taking levothyroxine. 125 mg for hypothyroidism and trying to get back into bodybuilding. Is it safe to take a bcaa supplement?,Medication Information
"I am feeling pain all over my stomach, what should I do?",Specific Health Conditions and Diseases
I am having a hard time finding info. On the success of a 3 level lumbar fusion with an internal stimulator. Previous fusion no growth. Please help?!?,Treatment Details
I am having surgery on my inner right ankle for a 1.4cm mass thats between bone and nerve the nerve might be connected. How big will the incision be. ?,Treatment Details
I can feel small lymph node in my neck the doctor said its 9m is this normal.Iam itlle worry.But the rest of the lymph node i can't feel them.,Specific Health Conditions and Diseases
"I feel like depression and anxiety are ruining my life, need some advice?",Lifestyle and Health
If I am feeling suicidal what should I do?,Specific Health Conditions and Diseases
If pus in stool is occasionally is there any problem?,Specific Health Conditions and Diseases
"If you take birth control regularly, miss one does on the only night you've had sex in 1 year (no sex after), then continue to take regularly thereafter, how is it possible to get pregnant with twins?",Preventive Medicine
I got bit by an insect on my calf muscle. Its been bruised for almost a month now. Its not itchy but it is swelling & pain when I bend my knee?,Specific Health Conditions and Diseases
"I have abdominal pain that wakes me up daily, naseous all the time, can't finish full meals, dizzy when I stand. Has been happening for 2-3 weeks?",Specific Health Conditions and Diseases
"I have had paragard 14 months, 12 days late should I wait to see if I mss my next cycle?",Treatment Details
"I have tenderness/swelling in front of my right ear, most noticeable when mouth is open, feels like it could be top of jaw. Sharp pain in ear area too?",Specific Health Conditions and Diseases
I just need to know if a low does antidepressant with Vyvanse (lisdexamfetamine) helps to not get the depression when you go off the Vyvanse (lisdexamfetamine) for weekends?,Medication Information
I'm 16 weeks pregnant and the skin on left side of my stomach and back is sensitive and extremely painful when touched. But I have no rash. Why?,Specific Health Conditions and Diseases
I'm in high school.I need to get to bet by 8:00 pm to get 9hours of sleep.I find myself stating up until 11 pm. What can I do to get to bed on time ?,Lifestyle and Health
I'm not sure but is huntington's disease a congenital disease?,Specific Health Conditions and Diseases
Interested in yoga but don't know which one to do to help me relax. What should I do?,Lifestyle and Health
I often feel these odd shudders in my stomache. My stomach kind of shakes. It freaks me out. What could it be?,Specific Health Conditions and Diseases
"I pricked myself on a knockout rose bush last friday. The swelling has gone down some, but it still hurts/itches in two spots. Is it infected?",Specific Health Conditions and Diseases
Is going from 40 mg Nexium to 20 mg Nexium and then 10 mg Nexium granuels a good way of weaning of?Sudden stopping I hear can result in sever rebound.,Medication Information
Is it okay for 18 year olds to take thermogenics?,Medication Information
Is it okay for momma to breastfed while taking prednisone?,Medication Information
Is it possible to be able to stop the ssri you're taking one day and having been recovered totally from OCD so no need for meds again?,Treatment Details
Is it possible to reverse skin atrophy caused by excess use of topical steroids?,Treatment Details
Is it safe to take fish oil and lisinopril together?,Medication Information
Is it safe to take Tylenol (acetaminophen) Cold Multi Symptom Nighttime and 10mg of melatonin?,Medication Information
Is levaquin (levofloxacin) for diverticulis?,Medication Information
"I smoke and drink alcohol, is my sperm healthy? Can it last 7 days inside the uterus?",Lifestyle and Health
Is there any food that affects semen ejaculation volume?,Lifestyle and Health
Is there a shot available i can take annually that will reduce my reaction to poison ivy? I asked my doc.'s nurse and she said she never heard of such a thing.,Preventive Medicine
"I stubbed my finger while working out. If i leave it alone, will it just go back to normal? And what is the time frame?",Preventive Medicine
Is whey protein bad for men with endogenic hair fall?,Medication Information
It is safe to take 20mg of Zyrtec (cetirizine) daily? I take it in the morning but 12 hrs later I am suffering. If I don't take another one at night I dont sleep.,Medication Information
I took 20mg of Prozac (fluoxetine) for 4 days. I have been off of it for 3 days. How long does it take to get out of my system?,Medication Information
I've had my tonsils out and my lymph nodes seem to be swollen lot can it be from allergies I get a lot of drainage?,Treatment Details
I've had swollen throat with white spots no fever no pain.  For five days. Facial pain and now diarreaha. Do you think this  is strep throat?,Specific Health Conditions and Diseases
I've used nasal spray and have taken Claritin and mucinex (guaifenesin). is there anything I can do to taste again?,Treatment Details
"I was taking tamazepam 30mg for sleep and it  barely worked,  they have now switched me to ambien which does not work for me at all.  For years i took?",Medication Information
"Just had an operation on herniated disc l4/l5 and still same symptoms on left leg as before op i.E. Numbness and scrapping feeling, is this normal?",Treatment Details
Left side face slight numbness was diagnosed with bellpssy but was not check for stroke  she is scared and wants to know what to do?,Diagnosis Explanation
Lower abdominal cramps before passing stool. Why does this happen?,Specific Health Conditions and Diseases
"Low lymphocytes for years on CBC, all else ok, 2 chest cts 14 mos apart both show same mildy enlarged L-nodes, some bilat, below 2 cms, diagnosis?",Diagnosis Explanation
Might it be that a a child get cancer if parent had one?,Specific Health Conditions and Diseases
"My 2-year-old was given Cefdinir for very red throat but negative strep test, 2 siblings had strep. 3 days later has a fever. Back to dr?",Medication Information
"My 4 year old son swallow aabout 10 mg rat killer pallet, I made him vomit by itching with finger in his throad and he vomit, what should I do next.?",Specific Health Conditions and Diseases
My5yr old had dental surgery under general anesthesia. He had versed before and Dr said he'd forget everything he remembers it all how come?,Treatment Details
"My 92 y.O friend suffers with knee & ankle arthritis. She is on xeralto 15mg, will using arnica gel for pain interfere with this blood thinner ? Thank",Medication Information
My asthma flared up on 2mg abuterol and singulair (montelukast) have chest congestion what can i take OTC for congestion?,Medication Information
"My dad has got a high pressure, cholesterol and diabeties he take a lot of medicine I am really scared about him what should he do?",Specific Health Conditions and Diseases
"My dad has stage 4 nsclc, what tests he should normally do to check the progress/ regress? And how often.",Diagnosis Explanation
"My D is experiencing blood on end of stool & on tissue. 3rd day in a row but only on morning bm! Have GP appointment for 5 days, is this soon enough?",Specific Health Conditions and Diseases
"My husband and I had unprotected sex and he comes. Inside me, he told me to jump to avoid the sperm penetrates the egg cell, is this true?",General Health Information
"My rheumatologist said 'if a patient has lupus then prednisone doesn't work."" why is that?",Diagnosis Explanation
My son was in the ER last night for a reaction to his Adderall after they give him Xanax (alprazolam) about 1130 last night he is seen things?,Medication Information
My vitamin d level is 20...and taking vitamin d supplement gives me horrible muscle cramps even small dose 400..should I stop taking vitamin d ?,Medication Information
Noticed small purple black lumps under foreskin on penis and one on penis head - (this one was already present before sex). Could it be genital warts?,Specific Health Conditions and Diseases
"One year old daughter crying for breast feed in night. Eats mild solids well. Not drinking bottle milk . Expects me always around her, else she cries?",Lifestyle and Health
On second depo shot can it make your boobs hurt? Be sore can it also darken your nipples?,Medication Information
"Out of the blue, my heart will just get this pain. It really hurts. Why?",Specific Health Conditions and Diseases
Period five days late when should I take pregnancy rest?,General Health Information
Please help! what is the surgery procedure called that removes the boney growth i know the first word is alveo?,Treatment Details
Should I throw away my hats to prevent reinfection from tinea capitis? Can the fungus stay on the fabric on the hat?,Preventive Medicine
Stopping the contraceptive pill after being on it for 8 years. How long will it be till I am fully natural with my cycle again? Will my acne return?,Treatment Details
Symptoms of arthritis in the spine?,Specific Health Conditions and Diseases
"Symptoms of breakthrough chickenpox occur on the body, treatment?",Specific Health Conditions and Diseases
Think I slightly inflamed my breast tissue from self-examining them too hard. Could this cause an enlarged lymph node in the area?,Specific Health Conditions and Diseases
"Total health.........,,,, I am having loer back stifiness,,,,,, weight loss,,,,, thick lips.............",Specific Health Conditions and Diseases
"Ttc fr 1yr after molar. Sperm normal, hsg norm, tsh-2.85, estrodiol-20.8fsh-9.68, lh-5.63prolactin-24.1amh-0.62afc-3.results normal? Wats next step? Age-28",Specific Health Conditions and Diseases
Ultrasound shows enlarged gland with at least 3 nodules the biggest being 3.6 CM * 3.2cm.  the nodule is solid with increased vascularity. Diagnosis?,Diagnosis Explanation
"US=Diffuse thickening+edema of gastrocnemus. MD said its ok, ice it. Is this true? Leg's been hurting a lot for months. Now I limp after >10min walk",Diagnosis Explanation
What are some illnesses of the lymphatic system?,Specific Health Conditions and Diseases
What are some sources of vitamin d?,Lifestyle and Health
What are the healings from hydrotherapy ?,Treatment Details
What are the known symptoms of spondylolisthesis?,Specific Health Conditions and Diseases
What are the symptoms of diphtheria,Specific Health Conditions and Diseases
What does it mean when u have to take a deep breath to breath vetter?,Specific Health Conditions and Diseases
What do you advise if i had which were growling stomach and excessive flatulence. What could've caused this?,Specific Health Conditions and Diseases
What do you advise if I sprained my ankle about 2 weeks ago and the foot is feeling numb?,Specific Health Conditions and Diseases
What is an easy home remedie for premature ejaculation?,Treatment Details
What is neuromytonia (isaacs syndrome)?,Specific Health Conditions and Diseases
What is the direction of some legitimate plastic surgeons that deal in cleft lips?,Specific Health Conditions and Diseases
What is the maximum amount of Valium someone can take without overdosing?,Medication Information
What might cause glands in my armpit to swell?,Specific Health Conditions and Diseases
What r the main symptom of acute HIV?,Specific Health Conditions and Diseases
"What should you do if a condom tears, while having intercourse?",Preventive Medicine
What supplement or vitamin can I take that would increase blood curculation to knee?,Medication Information
What symptoms will I have if  I have strep throat?,Specific Health Conditions and Diseases
What tests are done to figure if you have circulation problems in thighs sometimes when standing too long. What exer can I do to  when it comes ?,Treatment Details
What to do if I'm allergic to sunscreen but I work out in the sun all day what can I do from stop getting burn?,Preventive Medicine
What will happen if a normal 19 year old guy took viagra (sildenafil)?,Medication Information
"When I go to my doctor and tell him I urinate a lot, will he be able to determine if I'm diabetic or not?",Diagnosis Explanation
Why do spider bites take so long to heal?,Specific Health Conditions and Diseases
Why I have abdominal obesity with fatty thighs and upper limd muscle atrophy?,Specific Health Conditions and Diseases
Will an infection in a belly piercing cause flu symptoms?,Specific Health Conditions and Diseases
"According to my boyfriend last time I had an absence events I had tears rolling down my cheeks but I wasn't sobbing or anything, is this normal?",Specific Health Conditions and Diseases
After many courses of antibiotics i still have the helicobacrer bacteria. What can you advise me?,Treatment Details
Are monochorionic-diamniotic twins usually healthy at birth?,Specific Health Conditions and Diseases
Are there any medications or treatment options to help with bloating and discomfort during an IBS flare up ?,Treatment Details
Are there any sides effect of not doing the communicating hydrocele repaire?,Treatment Details
A week ago i used Monistat 1 (tioconazole) to treat a yeast infection. Now I have a vaginal odor and I am wondering if I should use safeguard soap to help the smell?,Medication Information
Blood pressure is good sitting down 120/75. But just walking across room it goes to 140/90.  I'm not over weight or in bad shape. Should I be concern?,General Health Information
Can a ultrasound show tumors in the kidney or stomach cancer and what does it mean when a ultrasound show a swollen kidney air around kidney and a possible blockage for a 7 year old girl thanks very much?,Diagnosis Explanation
"Can I get an std, such as HIV from mutual materbation with my partner? Cum touched clit but didn't go inside vagina and also touched a cut on my hand",Specific Health Conditions and Diseases
Can I take oral terbinafine for onychomycosis? I had taken 45 oral terbinafine.Now foot toenail skin are red & pain. It will cure?,Medication Information
Can metronidazole topical cream be used vaginally?,Medication Information
Can my child with hemophilia participate in activities?,Preventive Medicine
"Can rogaine (minoxidil) cause weight gain, body aches and pain in the kidney area? I've been on it nearly a month.",Medication Information
Can scar tissue on the uterus or bladder show up on an ultrasound?,Diagnosis Explanation
Can the ointment mupirocin USP 2% cause a rash when applied if its expired?,Medication Information
Can underactive detrusor ever return to normal?,Treatment Details
Can you explain how to pass marijuana drug test?,Preventive Medicine
Cycle was 2 weeks late with negative preg tests. Period was 14 days of light to medium bleeding. Now I have thick brown discharge.,Specific Health Conditions and Diseases
"Do i have to prove that im deficient in gh in order to get therapy, ive heard gh is already been approved for height increasing purpose from 2003?",Treatment Details
"Every morning I wake up perfectly normal, about an hour later, I am so tired. I can barely stay awake. I am also kind of dizzy. And confused.?",Specific Health Conditions and Diseases
"Feels like something is stuck in throat, shoulder and chest feels mildly heavy, upper back ache. No more coughing. What can this be?",Specific Health Conditions and Diseases
"Had sex then took plan b pill next day, few days after pill came light bleeding for 3 days, could I still be pregnant?",General Health Information
Had sex using condom and withdrawal 1 week after start of last period. Not on bc. Now having lower stomach pressure period due in one week. Pregnant?,General Health Information
"Hi I just found out I contracted an std. My doctor prescribed me Azithromicyn 500, they are too big to swallow, am I able to crush them up with food?",Medication Information
How can I handle friends that call me a 'junkie' for all my medications for my disability?,Lifestyle and Health
How can I know if I have a varicose vein or a blood blister?,Specific Health Conditions and Diseases
How do you fix loose upper dentures?,Treatment Details
How likely is someone to give meningitis to someone if he's gotten the vaccine?,Preventive Medicine
How long after conception does implantation bleeding start? Last period 11/13-18 unprotected sex nov 25,General Health Information
How safe is the use of azt (zidovudine) for HIV positive mothers?,Medication Information
How to cure urine infection?,Treatment Details
How to figure out how many calories per day for a teenage girl to lose weight?,Lifestyle and Health
How to have your vaginal discharge smell nice?,Lifestyle and Health
"I am 17 years old, and I have had troubles keeping or even maintaining an erection before sex. I have tried multiple times and don't know what to do anymore. It's really imbarrassing but my girlfriend said I should go see a doctor about it. I only masterb",Specific Health Conditions and Diseases
I am 19 yrs old and how can I do a good body workout?,Lifestyle and Health
I am experiencing urinary dribbling and abnormal urine stream. Recently catheterized during surgery could this have caused my issues?,Specific Health Conditions and Diseases
"I discovered I get this weakness in my hand whenever I try to snap my fingers, slight pain runs across elbow and wrist?",Specific Health Conditions and Diseases
Ie been gettin white mucus in my eyes for the past two years and im not sick. What could it possible be?,Specific Health Conditions and Diseases
"If both metanephrine fractionated tests were abnormal, what is the likihood the ct of the abdomen and pelvis being abnormal. Was done w/wo contrast.",Diagnosis Explanation
If I go to ER with a tooth ache will it be pulled?,Treatment Details
If I took 2 Claritin (loratadine) + d 24 hr pills yesterday at 2pm and took 1 Claritin (loratadine) + d 24 hr pill today at 7am did I technically overdose?,Medication Information
If I took the morning after pill within 11hrs after having unprotected sex what are my chances of not being pragent?,Preventive Medicine
I had a root canal 3 months ago but tooth is still sensitive to hot. What could be the reason?,Treatment Details
I had a surgery on my right scaphoid and it's been ok till now. It's hurting so bad I want to break down and idk what to take because Advil (ibuprofen) isn't working and the doctor office is closed what do I do?,Medication Information
I had unprotected sex 7 or so days before my periodthree days later I had light bloodthat lasted for two days instead of usual 7. Am I pregnant?,Specific Health Conditions and Diseases
"I have a rash or damage skin on my stomach area and a little on my arms. The rash itches, red, flaky. I wanted to know what u thoughs were?",Specific Health Conditions and Diseases
"I have been on klonopin (clonazepam) for my gad for about 4 years, 2mg a day. How long will the withdrawals last? Or when is it out of my system?",Medication Information
I have been tested for every STD everything came back normal the only problem is my pH is at 8 how do I lower to 4?,Treatment Details
"I have hemorrhoids that are bleeding & painful. Have done sitz baths, using prep h wipes & cream. Nothing is helping. Please advise?",Specific Health Conditions and Diseases
"I just found out today that I have chlamydia, but I breastfeed.  Is it possible that my child could have it to?",Specific Health Conditions and Diseases
I'm 4 days late for my period I am very stressed 2 nights i was about 10 hours late taking my birth control he did pull out. Could i be pregnant?,General Health Information
"I'm 5 weeks pregnant and this morning had brownish spotting, my gyn said this is normal and ita was due to implantation, should I be worried?",Specific Health Conditions and Diseases
"I'm on my period, and i had unprotected sex, and he came inside me. 2 days later, the bleeding from my period stopped. Is that a chance of pregnancy?",Specific Health Conditions and Diseases
I'm on opioids & want off. I am very messed up psychologically from my husband leaving me and I'm depressed. Dr put me on anti dep. Not working.?,Medication Information
"I m taking Clomid (clomiphene) since 3/4 month and my cycle 29 days, I m testing my ovulation every time and getting positive on 14/15 days and for 4 days is it ok?",Treatment Details
I'm taking prednisone for erythema multiforme and combined it with Nabumetone. A sunburn like rash has formed on my chest and arms. Please advice.?,Medication Information
"I'm training for a marathon and am having pain in my plantaris muscle, how can I help myself?",Lifestyle and Health
"I recently stopped birth control. My last period was16 oct, my cycles last about 32 days. I started noticing light blood from nov 2 until 15th?",Specific Health Conditions and Diseases
Is a brain injury/ brain damage considered to be the same as a mental illness?,Specific Health Conditions and Diseases
Is banana fattening? Some people say combining banana with milk makes you gain weight. Some say banana in itself cause fat. What is true??,Lifestyle and Health
Is it.Okay to brush after filling?,Treatment Details
Is it possible for a seven panel urine drug screen to distinguish between Vyvanse (lisdexamfetamine) and concerta?,Medication Information
Is there a way I can talk to someone about the subscription I just purchased for your service?,General Health Information
"I took Plan B on Feb. 11th, 2015 after having unprotected sex two days before. Now tonight I had protected sex, but the condom broke. I am wondering if the Plan B is still effective 5 days later? And if not, is it safe to consume another Plan B pill?",Medication Information
I took the morning after pill last sat am and started nuvaring that evening. I removed nuvaring 2 days ago and not started. That normal?,Medication Information
I've been diagnosed with acid reflux GERD heartburn anxiety and pharyngitis I have been constipated for a week i went today and there was a white spot?,Specific Health Conditions and Diseases
I've been taking 25mg Benadryl (diphenhydramine) 2-3 time a day for about 6 months for involuntary movements. What can I expect as withdrawal symptoms if I stop?,Medication Information
"I've had this bruise on my thigh for at least two months, and it still hasn't healed. Could it be skin cancer?",Diagnosis Explanation
I've noticed that after a few weeks of working out when i eat something it messes with my stomach and i end up with diarrhea before bed. Why?,Lifestyle and Health
I was using the bathroom and was cleaning the toilet after I finished I had a bandaid on both hands I raised the seat to clean it looked like dryblood?,Specific Health Conditions and Diseases
I would like help with my toddler. How do you cure a yeast infection?,Treatment Details
"Kleptomania, can it be passed down in the genes?",Specific Health Conditions and Diseases
"Last week, doctor put me me on omeprazole for gastritis (no prior stomach issues.)  since then, i've had a few green poops of middling consistency.  ?",Medication Information
"My baby has red pimple like bumps on her arm and leg, they look almost like bug bites. They just appear. What could they be?",Specific Health Conditions and Diseases
"My boyfriend has been experiencing shortness of breathe for the past week, he went to the doctor they checked all his vital signs and his oxygen level and everything came back a okay, do you have any idea what the problem may be ? Please help i'm really w",Specific Health Conditions and Diseases
"My ccp ab IgG came back at 221, sed in january 15 to now at 50. I was then put on prednisone until I see the RA may 6th. What my safest treatment?",Treatment Details
My daughter is still displaying symptoms of type 1 diabetes. What can we do?,Specific Health Conditions and Diseases
My father is 81 and has Parkinson's disease for the last 3 years. He can't even move his hands & legs. What can I do to support him?,Specific Health Conditions and Diseases
